Run,Total.(s),Transfer.(s),WithoutTransfer.(s),CC
1,0.334095,0.152911,0.181184,0.984205
2,0.332024,0.151373,0.180651,0.984205
3,0.385443,0.147506,0.237937,0.984205
4,0.309818,0.139845,0.169973,0.984205
5,0.311296,0.138727,0.172569,0.984205
6,0.326159,0.152757,0.173402,0.984205
7,0.319896,0.149695,0.170201,0.984205
8,0.308938,0.138773,0.170165,0.984205
9,0.314397,0.141979,0.172418,0.984205
10,0.319305,0.146579,0.172726,0.984205
11,0.316659,0.143351,0.173309,0.984205
