Run,Total.(s),Transfer.(s),WithoutTransfer.(s),CC
1,1.80115,0.766703,1.03445,0.992844
2,1.88905,0.772391,1.11666,0.992844
3,1.89533,0.767243,1.12809,0.992844
4,1.77092,0.757769,1.01315,0.992844
5,1.74696,0.754727,0.992228,0.992844
6,1.80528,0.760335,1.04495,0.992844
7,1.8868,0.762674,1.12413,0.992844
8,1.85363,0.763213,1.09042,0.992844
9,1.84076,0.781109,1.05965,0.992844
10,1.92358,0.768048,1.15553,0.992844
11,1.93806,0.770748,1.16731,0.992844
