Run, Total.(s), Transfer.(s), WithoutTransfer.(s), CC
1,20.374, 9.74612, 10.6279, 0.992844
2,19.4388, 9.47341, 9.96538, 0.992844
3,20.0372, 9.97133, 10.0659, 0.992844
4,19.1721, 9.17694, 9.99511, 0.992844
5,19.5449, 9.41703, 10.1279, 0.992844
6,19.2821, 9.27515, 10.007, 0.992844
7,20.7404, 10.0144, 10.7261, 0.992844
8,19.1138, 9.21173, 9.90203, 0.992844
9,20.2294, 9.85375, 10.3756, 0.992844
10,20.2454, 9.75507, 10.4903, 0.992844
11,19.8248, 9.92589, 9.89893, 0.992844
